id,Gruppe,submitdate,lastpage,startlanguage,seed,startdate,datestamp,MotherCode,Amount_Share,Amount_Post,Amount_Edit,Total_Publications,Total_Interventions,Fehler,Usability,Verbesserung,Sonstiges,SDB_01CON_T2,SDB_02CON_T2,SDB_03CON_T2,SDB_04RB_T2,SDB_05RB_T2,SDB_06RB_T2,SDB_07SPR_T2,SDB_08SPR_T2,SDB_09SPR_T2,SDB_10EN_T2,SDB_11EN_T2,SDB_12EN_T2,PC_01PC_T2,PC_02PC_T2,PC_03PC_T2,RISK1_01RISK_T2,RISK1_02RISK_T2,RISK1_03RISK_T2,RISK1_04RISK_T2,RISK2_05RISK_T2,EPC_01EIPC,EPC_02EIPC,EPC_03EIPC,EPC_04EIPC,EPC_05EIPC,EPC_06EIPC,EPC_111Q4,Abfrage,Alter,Schule,Schule_other,Bildung,Bildung_other,Beruf,Beruf_other,InfoEnagram,InstallationEnagram,RegCode,Apps_1,Apps_2,Apps_3,Apps_4,Apps_5,Apps_6,Apps_7,Apps_8,Apps_9,Apps_10,Apps_11,Apps_12,Apps_13,Apps2,SNSJahre,WhatsappZeit,InstagramZeit,TwitterZeit,FacebookZeit,FacebookMessZeit,TikTokZeit,SnapchatZeit,DiscordZeit,ThreemaZeit,SkypeZeit,iMessageZeit,TelegramZeit,SonstigeZeit,BEN,CTRL,EIPC,RSK1_R,RSK3_R,RSK
16,1,10/7/2021 11:14:26,17,de,1686487229,10/7/2021 10:55:37,10/7/2021 11:14:26,BR01988B,2,7,1,9,8,"App hat den Text den man in das Eingabefeld eingegeben hat nicht übernommen, hier war es auch egal ob man zum teilen eine Story, Direktnachricht oder Post ausgewählt hat. Dadurch hatte das Text Feature keinen wirklichen Nutzen.","Filter direkt in der App auswählen. Nur zum Bilder auswählen und ohne das Text Feature hatte die App für mich absolut keinen Nutzen und es ergibt sich für mich keine Situation in der ich die App selbst nutzen würde. Wenn die App eine Funktion zum Planen von Beiträgen, oder besondere Filter, andere Features, o.ä. hätte, würde das vielleicht anders aussehen, aber soweit ist die App nur ein zusätzlicher, unnötiger Schritt zum Bilder hochladen.",s.o.,"Die Studie fand ich sehr interessant, nur der Mehrwert der App ist mir leider nicht klar geworden. Sie fügt nichts neues zu Instagram hinzu und erscheint mir schlicht sinnlos.",6,5,6,6,6,7,6,4,4,7,6,1,6,2,1,2,4,1,7,5,1,2,3,2,4,1,4,1,23,7, ,7, ,2, ,1,1,SWE-3NA-009,1,1,1,0,0,1,0,1,0,0,0,0,0, ,8,20,30,50,5,0,20,0,0,0,0,0,0,0,5.33333333333333,3,2.16666666666667,6,7,6
23,1,10/7/2021 13:05:25,17,de,350291152,10/7/2021 12:46:18,10/7/2021 13:05:25,CE19967B,0,2,0,2,2,Keine Probleme.,Die App ist sehr benutzerfreundlich und übersichtlich. Deswegen haben mir keine Funktionen gefehlt.,Das Aussehen/Design der App ist nicht sehr modern oder ausgereift.,"Mir ist nicht unbedingt klar, was der Nutzen der App ist - es gibt keine besonderen Funktionen, die nicht schon allein über Instagram möglich sind. Man wählt durch die App nur das Bild aus, was im Grunde ein unnötiger Extraschritt ist.",6,6,6,5,5,5,5,6,5,7,5,4,6,4,5,3,2,5,7,3,5,6,3,6,6,5,4,1,25,7, ,7, ,2, ,1,1,SWE-3NA-009,1,1,1,0,0,1,0,1,0,0,0,0,0, ,13,10,30,10,0,0,180,0,1,0,0,0,0,0,5.41666666666667,5,5.16666666666667,5,3,4.25
2,1,10/7/2021 9:19:46,17,de,1328917486,10/7/2021 9:05:28,10/7/2021 9:19:46,FI09028K,0,2,0,2,3,"Bilder haben teilweise nicht geladen, die ich hochgeladen habe, sobald ich jedoch auf ""teilen"" oder ""post"" bin, wurden diese in Instagram dann angezeigt.","Generell finde ich, dass die App zu wenig Funktionen hat. Ich würde mir noch wünschen, dass man Themen angibt, zu dem das Bild gehört und dann Beispiel Zitate oder ähnliches kommen, dass man hier Arbeit erspart. Außerdem wären Hashtagvorschläge gut.",Das Kopieren des Beschreibungstext direkt in Instagram.,"An sich würde ich die App Privat nicht nutzen, da sie die Funktionen von Instagram wiederspiegeln. Warum auf einer extra App alles eintragen, wenn ich es auch in Instagram machen kann. Wenn weitere Funktionen kommen, könnte ich mir auch vorstellen, die App privat zu nutzen.",6,6,5,6,6,6,6,6,7,6,7,7,3,2,2,3,3,3,3,3,1,1,1,2,1,2,4,1,19,7, ,2, ,2, ,1,1,SWE-3NA-009,1,1,0,0,0,1,1,1,0,0,0,0,1,Teams,11,40,90,0,0,0,30,20,120,0,0,0,0,130,6.16666666666667,2.33333333333333,1.33333333333333,5,5,4
30,1,10/7/2021 19:36:28,17,de,1164755720,10/7/2021 19:24:44,10/7/2021 19:36:28,KA22877C,7,1,1,8,2,Die App hat sich in den sieben Tagen nie komplett aufgehängt. Manchmal haben die Buttons jedoch mit Verzögerung oder sogar erst beim zweiten Klick reagiert.,Ich finde die Benutzeroberfläche wirklich sehr spartanisch und auch der Funktionsumfang ist eher rudimentär.,Funktionen einbauen die einen echten Mehrwert zum bloßen Hochladen bei Instagram selbst bieten.,"Nein, außer dass ich Ihnen weiterhin alles Gute für die Entwicklung wünsche.",6,4,4,4,4,5,3,5,4,3,4,5,5,4,4,3,4,5,5,4,3,4,5,4,4,4,4,1,34,7, ,8, ,6, ,1,1,SWE-3NA-009,1,1,1,1,0,1,0,1,0,0,0,1,0, ,12,60,60,60,10,0,0,0,60,0,0,0,10,0,4.25,4.33333333333333,4,5,3,4.25
33,1,10/8/2021 10:32:57,17,de,808277490,10/8/2021 10:01:11,10/8/2021 10:32:57,LU18995M,4,0,2,4,2,App ist ein mal abgestürzt. Außerdem wurde der Text für den Post nicht in das Post-Bearbeitungsfenster von Instagram übernommen.,"Das Textfeld für den Post könnte größer sein und die Auswahl zwischen Post, Story und Direktnachricht wäre sicherlich auch intuitiver möglich.","Optisch ließe sich die App um einiges verbessern, indem das Ui-Design modernisiert wird. Das aktuelle Design hat so etwas von leblosem Design aus Windows 10.","Ich habe noch nicht ganz den Nutzen von der App verstanden. Wozu gibt es eine solche Vor-Bearbeitungs-App, wenn sie eh nur zu Instagram weiterleitet, wo sämtliche in Enagram verfügbaren Funktionen (und weitere) auch verfügbar sind. Wirkt für mich irgendwie doppelt und überflüssig. Aber vielleicht klärt sich das ja zum Ende der Studie auf.",5,3,4,6,5,4,5,5,5,4,5,6,4,5,5,3,2,3,4,5,2,2,4,5,5,5,4,1,22,7, ,2, ,2, ,1,1,SWE-3NA-009,1,1,1,0,0,0,1,1,0,0,0,1,0, ,9,15,10,2,0,0,0,1,30,0,0,0,1,0,4.75,4.66666666666667,3.83333333333333,5,5,4
37,1,10/9/2021 20:34:42,17,de,1615540394,10/9/2021 20:10:18,10/9/2021 20:34:42,MO250211E,1,1,1,2,2,"Einmal wurde ein Bild doppelt in meine Story hochgeladen,","Browse Button war anfangs etwas verwirrend, da nicht gleich erkenntlich ist, für was man ihn verwendet","Besseres Design, wirkt sehr altmodisch", ,2,4,5,1,4,1,6,5,4,7,7,7,6,6,6,6,2,3,5,6,2,4,3,3,4,4,4,1,19,7, ,1, ,9, ,1,1,SWE-3NA-009,1,1,1,0,0,1,0,0,0,0,0,0,0, ,4,15,30,30,0,0,50,0,0,0,0,0,0,0,4.41666666666667,6,3.33333333333333,2,5,3.5
15,1,10/7/2021 11:06:35,17,de,1419723497,10/7/2021 10:30:49,10/7/2021 11:06:35,MU11007H,2,8,2,10,10,"Beim der Nutzung der App für Stories sind die Farben des Fotos in Instagram verfälscht, bis das Bild gepostet wird. Das macht z.B. die Nutzung von Filtern schwer.","- Für Stories: automatisches Vorschlagen von @s und hashtags  - Mehrfache Bildauswahl, besonders für Posts - Keine Option nur Textfelder zu clearen - Statt 'browse' einfach direkt auf das ""Bild"" klicken - Im Textfeld 'caption' sinnvoller als ""post"" (""post"" beschreibt sowohl das Foto mit Caption als auch die Aktion) - Keine Auswahl von Videos möglich - ein Option für Darkmode wäre schön  - ich konnte es nicht testen, aber es lohnt sich sicher einmal auszuprobieren, ob die App auch funktioniert, wenn man mehr als einen Instagramaccount besitzt und in beide eingeloggt ist, z.B. sollte man dann direkt auswählen können, auf welchem Account man posten möchte - Nach dem teilen eines Posts muss man diesen trotzdem manuell clearen - Kein Speichern von Fotoauswahl/caption wenn die App aus Versehen ganz geschlossen wird - Edit/post warning nur beim ersten mal 'share' sichtbar, danch nicht mehr - Format der Fotos in der Galerie nicht erkennbar","- ""safe draft"" option","Es gibt bereits viele Apps für Instagram, mit denen man direkt die Bilder bearbeiten oder sie in einem mock-feed anzeigen lassen kann. Ich sehe daher den Sinn von Enagram nicht wirklich, da die App nur für das schreiben von captions zu dienen scheint, wofür die Notes-App auch ausreicht (wenn man es nicht direkt in Instagram machen möchte)",6,5,4,2,2,2,3,2,2,6,6,5,6,4,4,5,3,5,4,5,2,2,3,3,2,2,4,1,21,7, ,2, ,2, ,1,1,SWE-3NA-009,1,1,1,0,0,0,1,1,0,0,0,0,0, ,9,20,30,45,0,0,90,5,120,0,0,0,0,0,3.75,4.66666666666667,2.33333333333333,3,3,3.25
40,1,10/15/2021 11:18:00,17,de, ,10/15/2021 10:41:00,10/15/2021 11:18:00,RE14017V,1,9,1,10,10,Technische probleme gab es nur wenn ich versucht hab ein foto auf der app per google images zu laden. Manchmal hat die app das bild zwar geladen aber auf instagram nicht übergetragt,"Meiner meinung nach braucht diese app mehr funktionen da sie dem benutzer keinen wirklichen wert gibt   z.B. photobearbeitung, direkter zugang auf meine fotos ohne die öffnung einer anderer app  Die app ist allerdings ziemlich leicht zu steuern und verstehen, und tut genau dass was sie tun muss.",Die app muss bestimmt schneller werden denn bei Instagram kann man sich das photo viel schneller laden.,Die studie lief ok.,5,2,5,5,5,5,2,7,3,6,7,7,7,7,7,2,1,1,7,5,1,1,1,1,1,4,4,1,20,6, ,1, ,2, ,1,1,SWE-3NA-009,1,1,1,1,1,1,0,1,0,0,0,1,1,Signal,1100011110,10,120,120,10,30,10,0,10,0,0,0,5,5,4.91666666666667,7,1.5,6,7,5.25
17,1,10/7/2021 11:19:03,17,de,184732311,10/7/2021 10:58:00,10/7/2021 11:19:03,SC30898M,0,12,0,12,12,"Bei meiner Verwendung der App in den 7 Tagen sind keine größeren technischen Probleme aufgetreten. Nur einmal wollte ich ein Bild in meiner Story posten und die App hat mich meine Story nicht auswählen lassen, sondern hat mir nur angeboten das Bild an Kontakte zu versenden. Aber nachdem ich die App geschlossen hatte und es erneut versucht hatte, funktionierte es ohne Probleme.","Auf dem ersten Blick wird es vielen schwer fallen zu verstehen warum sie diese App nutzen sollen statt direkt alles auf Instagram zu posten. Mich erinnert auch das Symbol der App ein wenig an Telegram, da könnte es unter Umständen zu Verwechselungen kommen, die so sicher nicht gewollt sind. Da es noch ein Prototyp ist wird sich mit Sicherheit noch einiges am Design verändern, da dieses in der Benutzeroberfläche doch noch sehr trist und uneinladend wirkt. Ich selbst habe einen Moment gebraucht bis ich verstanden habe das Browse dafür steht nach den Bildern zu suchen, aber das kann auch einfach nur an mir liegen.","Wie bereits oben erwähnt wird sich am Design sicher noch etwas verändern. Sonst denke ich, dass die App recht gut für Nutzer ist, die Instagram sehr oft am Tag nutzen, weil dadurch einige Schritte eingespart werden. Vielleicht wäre noch die Option sinnvoll die Bilder zuschneiden zu können. Sonst hätte ich bisher keine weiteren Vorschläge, da ich es mag das die App so übersichtlich und unüberladen ist. Dadurch lässt sie sich einfach steuern.", ,5,5,5,5,4,4,3,3,3,3,5,5,4,4,3,5,2,4,2,4,3,3,3,3,4,4,4,1,31,6, ,3, ,6, ,1,1,SWE-3NA-009,1,1,1,0,0,0,0,1,0,0,0,1,0, ,15,400,250,100,0,0,0,0,400,0,0,0,100,0,4.16666666666667,3.66666666666667,3.33333333333333,3,4,2.75
22,1,10/7/2021 13:03:58,17,de,1714873953,10/7/2021 12:22:49,10/7/2021 13:03:58,WE28026M,0,1,2,1,3,Das Bearbeiten hat nicht funktioniert,"Kein ansprechendes Design, der Sinn dahinter fehlt (warum sollte ich diese App verwenden?)",Grundsätzlich ein ansprechenderes Design! Die Merkmale der App besser vermarkten bzw. hervorheben, ,1,1,3,6,6,5,7,7,7,7,7,7,6,6,6,7,2,6,7,6,4,1,2,1,2,2,4,1,19,7, ,2, ,2, ,1,1,SWE-3NA-009,1,1,0,0,0,1,1,1,0,0,0,1,0, ,9,60,30,0,0,0,180,20,5,0,0,0,5,15,5.33333333333333,6,2,1,2,3
